"행정구역(시군구)별",2019,2019,2020,2020,2021,2021,2022,2022
"행정구역(시군구)별",총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명)
"전국",7104398,7104398,7735491,7735491,7213422,7213422,6152155,6152155
"서울특별시",1426493,1476081,1578127,1642977,1418187,1524430,1201527,1236867
"부산광역시",411704,435058,491829,506176,441323,460226,383848,397410
"기장군",15391,15800,32678,22995,22175,19359,20072,18323
"대구광역시",312419,336092,347248,364083,304761,329080,265354,276873
"달성군",33419,29002,34420,32772,33478,30918,26612,26289
"인천광역시",420014,422351,444556,460304,433137,421714,395140,367039
"강화군",7411,6681,8121,7531,8429,7204,7140,6282
"옹진군",3057,3452,3242,3242,3184,3181,3254,2841
"광주광역시",217130,221005,226163,232246,212888,218771,182924,190566
"대전광역시",212424,228766,232321,243418,211565,220496,198705,201701
"울산광역시",142056,152228,136112,149696,129880,143554,107747,117283
"울주군",26607,25475,23404,24101,24015,24147,21003,21109
"세종특별자치시",82398,58674,78934,65909,76912,62827,65529,55401
"세종특별자치시",82398,58674,78934,65909,76912,62827,65529,55401
"경기도",1940962,1806296,2152572,1984199,2036215,1885698,1645990,1602108
"수원시",173336,184404,168204,179518,183258,185355,166718,159012
"성남시",126568,139949,152795,156393,143716,150568,118431,124564
"의정부시",64399,59680,78645,68714,64152,59837,58522,56206
"안양시",72368,83715,79982,97945,87149,89564,67755,66080
"부천시",88659,103907,95110,107685,83726,94631,67341,80966
"광명시",38523,49361,46812,65102,38155,43233,31599,35911
"평택시",93713,77676,103098,80080,115345,86968,96524,81821
"동두천시",11891,13044,13345,13385,14191,13650,10251,11144
"안산시",86724,97273,117075,114020,88573,90721,69280,79699
"고양시",165154,144065,171708,159355,149815,148549,131575,131684
"과천시",7869,7763,15066,10277,21901,11814,16724,12063
"구리시",23107,27748,29851,31794,24380,29445,18307,20814
"남양주시",96451,77180,93021,81925,105754,84570,75909,71078
"오산시",37051,31725,34691,32145,30911,31029,25445,25723
"시흥시",85404,62348,98504,73126,73957,64419,59558,58836
"군포시",35183,37126,37273,39844,31293,36433,26366,28342
"의왕시",29540,22595,29486,27047,20685,21075,13950,16870
"하남시",55899,38913,63586,43486,75433,49193,43908,38559
"용인시",163901,140937,167745,155052,156128,153330,117756,119483
"파주시",55949,54574,75882,64593,79477,60852,69258,56191
"이천시",31401,30022,31253,28787,37284,31953,27796,27739
"안성시",25597,25663,27891,23902,28351,24992,22305,22129
"김포시",63503,51113,111331,76160,72655,61387,52771,55725
"화성시",168445,116607,155727,119562,153361,124882,119306,98368
"양주시",33309,27974,38466,30278,34428,27844,32864,24958
"광주시",50192,42534,54712,46135,56359,51263,48883,44457
"포천시",16391,18199,17883,18315,20818,17903,15297,16419
"여주시",13171,13318,14113,12939,14527,13448,14730,12902
"연천군",4840,5477,5231,5338,4992,5272,4488,4676
"가평군",6886,7090,7288,6939,7508,6926,6596,6020
"양평군",15538,14316,16798,14358,17933,14592,15777,13669
"강원특별자치도",217626,215965,223354,217897,217103,210422,194864,187370
"춘천시",42958,42216,46268,44586,46551,43354,43233,39950
"원주시",61367,56401,59935,54774,56022,51820,51960,47993
"강릉시",31980,30787,31595,30983,31820,30668,25320,25598
"동해시",10516,11039,12978,12623,11364,11376,9882,9945
"태백시",4763,5600,4330,5282,3698,4712,3616,4416
"속초시",13034,12788,14860,13785,13586,12976,11850,11393
"삼척시",7491,8359,7153,8870,6665,7731,8170,7596
"홍천군",6667,7088,7368,6820,6970,7076,6802,6574
"횡성군",4925,4751,4832,4581,5140,4599,4473,3862
"영월군",3774,4077,3786,3971,3873,3930,3443,3138
"평창군",3794,4080,4031,4167,3934,4080,3954,3457
"정선군",3743,3949,3516,3669,3168,3515,2908,3198
"철원군",4916,5684,4372,5182,4172,5182,3646,4442
"화천군",3840,4016,3667,3679,3564,4056,2743,3449
"양구군",2813,3458,2821,3284,2583,3021,2091,2360
"인제군",4120,4568,4823,4789,5688,5080,4180,4011
"고성군",3096,3835,3171,3438,4637,3807,3269,2968
"양양군",3829,3269,3848,3414,3668,3439,3324,3020
"충청북도",211396,208831,229895,226441,214300,210838,185419,180218
"청주시",113338,112770,136888,132403,123377,119563,105123,102642
"충주시",33960,33182,29948,29887,29990,29510,24920,24727
"제천시",17669,17978,15958,17060,15905,16381,15301,14870
"보은군",2651,3024,2943,3051,2931,2941,2555,2390
"옥천군",3891,3905,4099,4174,4553,4266,3515,3441
"영동군",4650,5188,4518,5326,3882,4839,3921,4062
"증평군",4045,4007,4062,4567,4004,4251,4358,3405
"진천군",12001,9226,12291,9705,11098,9430,9586,8505
"괴산군",5515,5122,6360,5725,5541,6208,3924,4447
"음성군",11162,11674,10555,11930,10680,10812,10075,9459
"단양군",2514,2755,2273,2613,2339,2637,2141,2270
"충청남도",258790,259584,287127,286386,282195,273673,260488,246174
"천안시",94096,90118,108656,103959,95328,95996,87446,88402
"공주시",12909,13472,12978,14252,12732,12966,12102,11590
"보령시",12027,12448,13571,13892,11667,12423,10742,10999
"아산시",39458,38636,45651,44441,52347,43463,51166,40751
"서산시",21743,21343,22595,21659,25581,24106,19763,19532
"논산시",13025,13820,12891,14277,12170,12911,10935,11518
"계룡시",7854,8646,8738,8893,8932,8376,9037,7855
"당진시",18286,19149,20823,21472,23478,22100,20826,18981
"금산군",4385,4909,4661,5024,4451,4612,4351,4080
"부여군",5297,5940,5341,6014,5055,5513,4557,4859
"서천군",3788,4371,4433,4821,4320,4626,3979,3881
"청양군",3111,3341,2954,3339,2894,2894,2851,2595
"홍성군",10037,10316,10504,10487,9991,10051,9009,9446
"예산군",6859,7098,7249,7697,7055,7310,8182,6624
"태안군",5915,5977,6082,6159,6194,6326,5542,5061
"전라북도",228775,241523,249083,257577,223710,229511,199432,204547
"전주시",99640,96550,107423,104277,93521,92637,80500,84656
"군산시",33808,35805,40013,41781,35364,36211,30032,31361
"익산시",33063,38614,34814,39411,35018,37660,29946,32296
"정읍시",11938,12916,13017,14149,10662,11317,10387,10675
"남원시",8960,9667,10765,10952,8239,8779,7570,8208
"김제시",8562,9313,9078,9722,9426,9738,8913,7449
"완주군",9861,11773,11482,11729,10699,10490,12141,10074
"진안군",2436,2511,2565,2698,2304,2378,2124,2218
"무주군",2018,2050,2142,2134,2065,2059,1816,1712
"장수군",2012,2593,1914,2096,1738,1879,1582,1660
"임실군",3800,4695,2789,4133,2661,2911,2803,2672
"순창군",2736,3323,2913,3265,2469,3010,2680,2403
"고창군",4953,6031,5005,5451,4920,5300,4552,4758
"부안군",4988,5682,5163,5779,4624,5142,4386,4405
"전라남도",224483,233271,239016,248770,223619,228106,191956,192301
"목포시",30963,33170,35366,40621,31899,36039,27306,27691
"여수시",38548,38853,38167,40171,35389,37565,32884,33628
"순천시",38768,38815,42742,40029,35081,35219,30495,32442
"나주시",17743,16745,18111,16879,17445,15605,14733,14335
"광양시",20669,20869,17189,22419,18956,20117,16560,14700
"담양군",5470,5513,5596,5543,5979,5529,4681,4523
"곡성군",2648,3098,2599,3077,2694,2802,2387,2330
"구례군",3051,3401,2893,3481,2742,2849,2414,2617
"고흥군",5482,5596,5627,5827,5090,5234,4993,4704
"보성군",3212,4145,3562,4003,3221,3534,2832,3058
"화순군",5786,6679,6441,6267,6678,5988,5436,5278
"장흥군",3339,3796,3307,3791,2859,3593,2582,2876
"강진군",3073,3660,3262,3627,3037,3342,2637,2687
"해남군",5582,6668,5431,6422,5316,5991,4615,4997
"영암군",6355,6281,5772,6370,6158,6345,5136,4985
"무안군",8984,9570,17995,12658,17154,11661,9935,9988
"함평군",3065,3314,2811,3264,3017,3210,2571,2532
"영광군",5409,5609,4926,5593,4983,5641,5189,4539
"장성군",6574,6400,5698,6715,5720,6214,5210,4807
"완도군",3748,4233,4055,4427,3514,4196,3290,3624
"진도군",2368,2610,3846,3064,2709,3408,2414,2542
"신안군",3646,4246,3620,4522,3978,4024,3656,3418
"경상북도",306511,311082,317701,334679,317866,314529,263156,270822
"포항시",54676,57420,61001,64528,61243,58655,46708,52079
"경주시",29148,29685,29067,29929,30156,29946,23992,24336
"김천시",18310,17797,16981,17180,17010,16548,14882,14844
"안동시",17774,19326,21654,21983,18412,19110,15782,16682
"구미시",52378,55492,52183,56607,49357,53412,42533,46870
"영주시",10054,11119,10789,12056,11783,11964,10510,10554
"영천시",14290,13045,14212,14057,15631,14787,11666,11537
"상주시",12144,11046,10836,13440,11463,11866,10039,9529
"문경시",9097,8215,9250,9552,9828,9491,8609,8304
"경산시",36282,34344,38546,37705,43463,38315,31622,31296
"군위군",2226,2054,2125,2422,2113,2026,2423,1652
"의성군",4587,4320,4484,4669,3992,4054,4055,3494
"청송군",2219,2248,2448,2496,2099,2238,2031,1886
"영양군",1243,1397,1212,1306,1142,1188,1149,1175
"영덕군",3002,3401,3027,3665,2977,3384,2858,2836
"청도군",4532,4224,4237,4347,4415,4139,4026,3603
"고령군",2695,3079,2904,3596,2671,2987,2746,2591
"성주군",4437,4775,4760,5016,4071,4110,3794,3584
"칠곡군",11112,12854,11949,13946,11548,11829,9935,10558
"예천군",7394,5328,7197,6325,5999,5371,5815,5209
"봉화군",2441,2816,2536,2821,2453,2673,2349,2465
"울진군",5008,5448,5054,5271,4646,4950,4001,4315
"울릉군",1462,1649,1249,1762,1394,1486,1631,1423
"경상남도",396251,405561,403339,419997,374782,388485,323211,341758
"창원시",0,0,0,0,0,0,0,0
"진주시",48436,46973,50419,49242,43575,43555,37511,39746
"통영시",14510,16412,13561,16092,12630,14699,11395,13037
"사천시",12992,14496,15911,16277,13303,13599,12850,12521
"김해시",76273,68644,61638,62359,58036,61982,52257,54109
"밀양시",11681,12234,13179,13096,11306,11461,11160,10607
"거제시",28671,31470,29264,32158,27395,31657,23676,27779
"양산시",42436,41494,44133,43322,45583,43078,34913,35502
"의령군",2319,2475,2628,2666,2559,2572,2438,2226
"함안군",5795,6803,5908,6971,5728,6725,5182,5572
"창녕군",6215,6805,6733,7200,6497,6898,5009,5827
"고성군",4196,4695,4324,4743,4378,4544,4683,3994
"남해군",3693,3478,3728,3794,3704,3679,3413,3356
"하동군",4720,5268,3914,5208,3626,4357,3403,3734
"산청군",3423,3623,3525,3638,3435,3367,3128,2806
"함양군",3558,3577,3386,3493,3413,3574,3047,3017
"거창군",4845,4686,4784,4995,5116,4926,4553,4580
"합천군",3516,3637,3737,4318,3611,3855,3321,3299
"제주특별자치도",94966,92030,98114,94736,94979,91062,86865,83717
"제주시",68638,66180,71080,68574,67139,65654,61348,60072
"서귀포시",26328,25850,27034,26162,27840,25408,25517,23645
